id,prompt,response
56,Construct a C++ algorithm to sort a number using recursion,"int sort(int n) {
    if (n <= 1) return n;
    return sort(n - 1) + sort(n - 2);
}
int main() {
    cout << sort(5);
    return 0;
}"
57,Design a C++ structure to represent a Book with fields x and y,"struct Book {
    // Fields: x and y
};"
58,Develop a C++ function to print an array of ten elements,"void printArray(int arr[], int n) {
    // TODO: implement print logic
}
int main() {
    int arr[10];
    printArray(arr, 10);
    return 0;
}"
59,Develop a C++ function to sum an array of odd elements,"void sumArray(int arr[], int n) {
    // TODO: implement sum logic
}
int main() {
    int arr[10];
    sumArray(arr, 10);
    return 0;
}"
60,Write a C++ program to reverse odd numbers,"// C++ program to write a c++ program to reverse odd numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
61,Write a C++ program to compare two numbers,"// C++ program to write a c++ program to compare two numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
62,Develop a C++ function to print an array of two elements,"void printArray(int arr[], int n) {
    // TODO: implement print logic
}
int main() {
    int arr[10];
    printArray(arr, 10);
    return 0;
}"
63,Create a C++ class for Employee with calculateArea functionality,"class Employee {
private:
    int value;
public:
    void calculateArea() {
        // TODO: implement calculateArea logic
    }
};"
64,Generate a C++ template function to sort two variables of type T,"void sortArray(int arr[], int n) {
    // TODO: implement sort logic
}
int main() {
    int arr[10];
    sortArray(arr, 10);
    return 0;
}"
65,Develop a C++ function to sort an array of two elements,"void sortArray(int arr[], int n) {
    // TODO: implement sort logic
}
int main() {
    int arr[10];
    sortArray(arr, 10);
    return 0;
}"
66,Construct a C++ algorithm to search a number using recursion,"int search(int n) {
    if (n <= 1) return n;
    return search(n - 1) + search(n - 2);
}
int main() {
    cout << search(5);
    return 0;
}"
67,Write a C++ snippet that uses a loop to compare the first 5 integers,"for (int i = 1; i <= 5; ++i) {
    // TODO: compare logic
}"
68,Design a C++ structure to represent a Employee with fields radius,"struct Employee {
    // Fields: radius
};"
69,Design a C++ structure to represent a Circle with fields x and y,"struct Circle {
    // Fields: x and y
};"
70,Develop a C++ function to search an array of even elements,"void searchArray(int arr[], int n) {
    // TODO: implement search logic
}
int main() {
    int arr[10];
    searchArray(arr, 10);
    return 0;
}"
71,Write a C++ snippet that uses a loop to add the first 9 integers,"for (int i = 1; i <= 9; ++i) {
    // TODO: add logic
}"
72,Create a C++ class for Rectangle with calculateArea functionality,"class Rectangle {
private:
    int value;
public:
    void calculateArea() {
        // TODO: implement calculateArea logic
    }
};"
73,Develop a C++ function to search an array of ten elements,"void searchArray(int arr[], int n) {
    // TODO: implement search logic
}
int main() {
    int arr[10];
    searchArray(arr, 10);
    return 0;
}"
74,Generate a C++ template function to sort two variables of type T,"void sortArray(int arr[], int n) {
    // TODO: implement sort logic
}
int main() {
    int arr[10];
    sortArray(arr, 10);
    return 0;
}"
75,Develop a C++ function to search an array of n elements,"void searchArray(int arr[], int n) {
    // TODO: implement search logic
}
int main() {
    int arr[10];
    searchArray(arr, 10);
    return 0;
}"
76,Write a C++ program to multiply even numbers,"// C++ program to write a c++ program to multiply even numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
77,Construct a C++ algorithm to sum a number using recursion,"int sum(int n) {
    if (n <= 1) return n;
    return sum(n - 1) + sum(n - 2);
}
int main() {
    cout << sum(5);
    return 0;
}"
78,Write a C++ program to divide n numbers,"// C++ program to write a c++ program to divide n numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
79,Write a C++ snippet that uses a loop to divide the first 13 integers,"for (int i = 1; i <= 13; ++i) {
    // TODO: divide logic
}"
80,Create a C++ class for BankAccount with computeSalary functionality,"class BankAccount {
private:
    int value;
public:
    void computeSalary() {
        // TODO: implement computeSalary logic
    }
};"
81,Write a C++ snippet that uses a loop to divide the first 13 integers,"for (int i = 1; i <= 13; ++i) {
    // TODO: divide logic
}"
82,Write a C++ program to divide odd numbers,"// C++ program to write a c++ program to divide odd numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
83,Write a C++ snippet that uses a loop to count the first 15 integers,"for (int i = 1; i <= 15; ++i) {
    // TODO: count logic
}"
84,Create a C++ class for BankAccount with calculateArea functionality,"class BankAccount {
private:
    int value;
public:
    void calculateArea() {
        // TODO: implement calculateArea logic
    }
};"
85,Write a C++ program to multiply three numbers,"// C++ program to write a c++ program to multiply three numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
86,Write a C++ snippet that uses a loop to compare the first 8 integers,"for (int i = 1; i <= 8; ++i) {
    // TODO: compare logic
}"
87,Write a C++ program to reverse odd numbers,"// C++ program to write a c++ program to reverse odd numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
88,Design a C++ structure to represent a Rectangle with fields id and name,"struct Rectangle {
    // Fields: id and name
};"
89,Construct a C++ algorithm to search a number using recursion,"int search(int n) {
    if (n <= 1) return n;
    return search(n - 1) + search(n - 2);
}
int main() {
    cout << search(5);
    return 0;
}"
90,Create a C++ class for Product with withdraw functionality,"class Product {
private:
    int value;
public:
    void withdraw() {
        // TODO: implement withdraw logic
    }
};"
91,Generate a C++ template function to print two variables of type T,"void printArray(int arr[], int n) {
    // TODO: implement print logic
}
int main() {
    int arr[10];
    printArray(arr, 10);
    return 0;
}"
92,Construct a C++ algorithm to sum a number using recursion,"int sum(int n) {
    if (n <= 1) return n;
    return sum(n - 1) + sum(n - 2);
}
int main() {
    cout << sum(5);
    return 0;
}"
93,Develop a C++ function to print an array of ten elements,"void printArray(int arr[], int n) {
    // TODO: implement print logic
}
int main() {
    int arr[10];
    printArray(arr, 10);
    return 0;
}"
94,Write a C++ program to count even numbers,"// C++ program to write a c++ program to count even numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
95,Develop a C++ function to sort an array of n elements,"void sortArray(int arr[], int n) {
    // TODO: implement sort logic
}
int main() {
    int arr[10];
    sortArray(arr, 10);
    return 0;
}"
96,Design a C++ structure to represent a Rectangle with fields title and author,"struct Rectangle {
    // Fields: title and author
};"
97,Write a C++ snippet that uses a loop to count the first 12 integers,"for (int i = 1; i <= 12; ++i) {
    // TODO: count logic
}"
98,Generate a C++ template function to reverse two variables of type T,"void reverseArray(int arr[], int n) {
    // TODO: implement reverse logic
}
int main() {
    int arr[10];
    reverseArray(arr, 10);
    return 0;
}"
99,Design a C++ structure to represent a Point with fields radius,"struct Point {
    // Fields: radius
};"
100,Design a C++ structure to represent a Employee with fields radius,"struct Employee {
    // Fields: radius
};"
101,Generate a C++ template function to sort two variables of type T,"void sortArray(int arr[], int n) {
    // TODO: implement sort logic
}
int main() {
    int arr[10];
    sortArray(arr, 10);
    return 0;
}"
102,Construct a C++ algorithm to sum a number using recursion,"int sum(int n) {
    if (n <= 1) return n;
    return sum(n - 1) + sum(n - 2);
}
int main() {
    cout << sum(5);
    return 0;
}"
103,Construct a C++ algorithm to reverse a number using recursion,"int reverse(int n) {
    if (n <= 1) return n;
    return reverse(n - 1) + reverse(n - 2);
}
int main() {
    cout << reverse(5);
    return 0;
}"
104,Design a C++ structure to represent a Point with fields id and name,"struct Point {
    // Fields: id and name
};"
105,Develop a C++ function to search an array of three elements,"void searchArray(int arr[], int n) {
    // TODO: implement search logic
}
int main() {
    int arr[10];
    searchArray(arr, 10);
    return 0;
}"
106,Design a C++ structure to represent a Point with fields length and breadth,"struct Point {
    // Fields: length and breadth
};"
107,Create a C++ class for Product with calculateArea functionality,"class Product {
private:
    int value;
public:
    void calculateArea() {
        // TODO: implement calculateArea logic
    }
};"
108,Write a C++ snippet that uses a loop to count the first 12 integers,"for (int i = 1; i <= 12; ++i) {
    // TODO: count logic
}"
109,Write a C++ program to multiply n numbers,"// C++ program to write a c++ program to multiply n numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
110,Develop a C++ function to print an array of three elements,"void printArray(int arr[], int n) {
    // TODO: implement print logic
}
int main() {
    int arr[10];
    printArray(arr, 10);
    return 0;
}"
111,Generate a C++ template function to print two variables of type T,"void printArray(int arr[], int n) {
    // TODO: implement print logic
}
int main() {
    int arr[10];
    printArray(arr, 10);
    return 0;
}"
112,Create a C++ class for Rectangle with computeSalary functionality,"class Rectangle {
private:
    int value;
public:
    void computeSalary() {
        // TODO: implement computeSalary logic
    }
};"
113,Design a C++ structure to represent a Book with fields title and author,"struct Book {
    // Fields: title and author
};"
114,Construct a C++ algorithm to print a number using recursion,"int print(int n) {
    if (n <= 1) return n;
    return print(n - 1) + print(n - 2);
}
int main() {
    cout << print(5);
    return 0;
}"
115,Develop a C++ function to sum an array of n elements,"void sumArray(int arr[], int n) {
    // TODO: implement sum logic
}
int main() {
    int arr[10];
    sumArray(arr, 10);
    return 0;
}"
116,Design a C++ structure to represent a Employee with fields length and breadth,"struct Employee {
    // Fields: length and breadth
};"
117,Create a C++ class for BankAccount with calculateArea functionality,"class BankAccount {
private:
    int value;
public:
    void calculateArea() {
        // TODO: implement calculateArea logic
    }
};"
118,Write a C++ snippet that uses a loop to subtract the first 15 integers,"for (int i = 1; i <= 15; ++i) {
    // TODO: subtract logic
}"
119,Write a C++ snippet that uses a loop to sort the first 16 integers,"for (int i = 1; i <= 16; ++i) {
    // TODO: sort logic
}"
120,Develop a C++ function to sum an array of odd elements,"void sumArray(int arr[], int n) {
    // TODO: implement sum logic
}
int main() {
    int arr[10];
    sumArray(arr, 10);
    return 0;
}"
121,Construct a C++ algorithm to sum a number using recursion,"int sum(int n) {
    if (n <= 1) return n;
    return sum(n - 1) + sum(n - 2);
}
int main() {
    cout << sum(5);
    return 0;
}"
122,Write a C++ program to sort three numbers,"// C++ program to write a c++ program to sort three numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
123,Write a C++ snippet that uses a loop to sort the first 6 integers,"for (int i = 1; i <= 6; ++i) {
    // TODO: sort logic
}"
124,Write a C++ snippet that uses a loop to count the first 15 integers,"for (int i = 1; i <= 15; ++i) {
    // TODO: count logic
}"
125,Construct a C++ algorithm to reverse a number using recursion,"int reverse(int n) {
    if (n <= 1) return n;
    return reverse(n - 1) + reverse(n - 2);
}
int main() {
    cout << reverse(5);
    return 0;
}"
126,Develop a C++ function to print an array of two elements,"void printArray(int arr[], int n) {
    // TODO: implement print logic
}
int main() {
    int arr[10];
    printArray(arr, 10);
    return 0;
}"
127,Write a C++ snippet that uses a loop to sort the first 6 integers,"for (int i = 1; i <= 6; ++i) {
    // TODO: sort logic
}"
128,Construct a C++ algorithm to search a number using recursion,"int search(int n) {
    if (n <= 1) return n;
    return search(n - 1) + search(n - 2);
}
int main() {
    cout << search(5);
    return 0;
}"
129,Create a C++ class for Rectangle with deposit functionality,"class Rectangle {
private:
    int value;
public:
    void deposit() {
        // TODO: implement deposit logic
    }
};"
130,Write a C++ program to reverse three numbers,"// C++ program to write a c++ program to reverse three numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
131,Develop a C++ function to reverse an array of three elements,"void reverseArray(int arr[], int n) {
    // TODO: implement reverse logic
}
int main() {
    int arr[10];
    reverseArray(arr, 10);
    return 0;
}"
132,Write a C++ snippet that uses a loop to subtract the first 17 integers,"for (int i = 1; i <= 17; ++i) {
    // TODO: subtract logic
}"
133,Construct a C++ algorithm to search a number using recursion,"int search(int n) {
    if (n <= 1) return n;
    return search(n - 1) + search(n - 2);
}
int main() {
    cout << search(5);
    return 0;
}"
134,Develop a C++ function to search an array of ten elements,"void searchArray(int arr[], int n) {
    // TODO: implement search logic
}
int main() {
    int arr[10];
    searchArray(arr, 10);
    return 0;
}"
135,Write a C++ program to sort three numbers,"// C++ program to write a c++ program to sort three numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
136,Create a C++ class for Employee with withdraw functionality,"class Employee {
private:
    int value;
public:
    void withdraw() {
        // TODO: implement withdraw logic
    }
};"
137,Develop a C++ function to sum an array of three elements,"void sumArray(int arr[], int n) {
    // TODO: implement sum logic
}
int main() {
    int arr[10];
    sumArray(arr, 10);
    return 0;
}"
138,Write a C++ program to divide three numbers,"// C++ program to write a c++ program to divide three numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
139,Develop a C++ function to sum an array of n elements,"void sumArray(int arr[], int n) {
    // TODO: implement sum logic
}
int main() {
    int arr[10];
    sumArray(arr, 10);
    return 0;
}"
140,Construct a C++ algorithm to sort a number using recursion,"int sort(int n) {
    if (n <= 1) return n;
    return sort(n - 1) + sort(n - 2);
}
int main() {
    cout << sort(5);
    return 0;
}"
141,Design a C++ structure to represent a Circle with fields x and y,"struct Circle {
    // Fields: x and y
};"
142,Write a C++ snippet that uses a loop to compare the first 17 integers,"for (int i = 1; i <= 17; ++i) {
    // TODO: compare logic
}"
143,Write a C++ program to divide three numbers,"// C++ program to write a c++ program to divide three numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
144,Develop a C++ function to search an array of ten elements,"void searchArray(int arr[], int n) {
    // TODO: implement search logic
}
int main() {
    int arr[10];
    searchArray(arr, 10);
    return 0;
}"
145,Generate a C++ template function to sum two variables of type T,"void sumArray(int arr[], int n) {
    // TODO: implement sum logic
}
int main() {
    int arr[10];
    sumArray(arr, 10);
    return 0;
}"
146,Write a C++ snippet that uses a loop to divide the first 18 integers,"for (int i = 1; i <= 18; ++i) {
    // TODO: divide logic
}"
147,Generate a C++ template function to sort two variables of type T,"void sortArray(int arr[], int n) {
    // TODO: implement sort logic
}
int main() {
    int arr[10];
    sortArray(arr, 10);
    return 0;
}"
148,Write a C++ program to multiply three numbers,"// C++ program to write a c++ program to multiply three numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
149,Design a C++ structure to represent a Point with fields radius,"struct Point {
    // Fields: radius
};"
150,Create a C++ class for Product with computeSalary functionality,"class Product {
private:
    int value;
public:
    void computeSalary() {
        // TODO: implement computeSalary logic
    }
};"
151,Write a C++ snippet that uses a loop to subtract the first 6 integers,"for (int i = 1; i <= 6; ++i) {
    // TODO: subtract logic
}"
152,Write a C++ snippet that uses a loop to add the first 16 integers,"for (int i = 1; i <= 16; ++i) {
    // TODO: add logic
}"
153,Write a C++ program to sort three numbers,"// C++ program to write a c++ program to sort three numbers
#include <iostream>
using namespace std;
int main() {
    // TODO: implement logic
    return 0;
}"
154,Develop a C++ function to sum an array of three elements,"void sumArray(int arr[], int n) {
    // TODO: implement sum logic
}
int main() {
    int arr[10];
    sumArray(arr, 10);
    return 0;
}"
155,Design a C++ structure to represent a Book with fields id and name,"struct Book {
    // Fields: id and name
};"
156,Construct a C++ algorithm to search a number using recursion,"int search(int n) {
    if (n <= 1) return n;
    return search(n - 1) + search(n - 2);
}
int main() {
    cout << search(5);
    return 0;
}"
157,Generate a C++ template function to print two variables of type T,"void printArray(int arr[], int n) {
    // TODO: implement print logic
}
int main() {
    int arr[10];
    printArray(arr, 10);
    return 0;
}"
158,Develop a C++ function to reverse an array of three elements,"void reverseArray(int arr[], int n) {
    // TODO: implement reverse logic
}
int main() {
    int arr[10];
    reverseArray(arr, 10);
    return 0;
}"
159,Develop a C++ function to search an array of ten elements,"void searchArray(int arr[], int n) {
    // TODO: implement search logic
}
int main() {
    int arr[10];
    searchArray(arr, 10);
    return 0;
}"
160,Construct a C++ algorithm to print a number using recursion,"int print(int n) {
    if (n <= 1) return n;
    return print(n - 1) + print(n - 2);
}
int main() {
    cout << print(5);
    return 0;
}"
161,Construct a C++ algorithm to sort a number using recursion,"int sort(int n) {
    if (n <= 1) return n;
    return sort(n - 1) + sort(n - 2);
}
int main() {
    cout << sort(5);
    return 0;
}"
162,Write a C++ snippet that uses a loop to count the first 10 integers,"for (int i = 1; i <= 10; ++i) {
    // TODO: count logic
}"
163,Develop a C++ function to reverse an array of ten elements,"void reverseArray(int arr[], int n) {
    // TODO: implement reverse logic
}
int main() {
    int arr[10];
    reverseArray(arr, 10);
    return 0;
}"
164,Develop a C++ function to sum an array of ten elements,"void sumArray(int arr[], int n) {
    // TODO: implement sum logic
}
int main() {
    int arr[10];
    sumArray(arr, 10);
    return 0;
}"
165,Develop a C++ function to sort an array of two elements,"void sortArray(int arr[], int n) {
    // TODO: implement sort logic
}
int main() {
    int arr[10];
    sortArray(arr, 10);
    return 0;
}"
166,Design a C++ structure to represent a Book with fields title and author,"struct Book {
    // Fields: title and author
};"
167,Construct a C++ algorithm to search a number using recursion,"int search(int n) {
    if (n <= 1) return n;
    return search(n - 1) + search(n - 2);
}
int main() {
    cout << search(5);
    return 0;
}"
168,Develop a C++ function to print an array of even elements,"void printArray(int arr[], int n) {
    // TODO: implement print logic
}
int main() {
    int arr[10];
    printArray(arr, 10);
    return 0;
}"
169,Construct a C++ algorithm to sum a number using recursion,"int sum(int n) {
    if (n <= 1) return n;
    return sum(n - 1) + sum(n - 2);
}
int main() {
    cout << sum(5);
    return 0;
}"
170,Design a C++ structure to represent a Book with fields title and author,"struct Book {
    // Fields: title and author
};"
171,Create a C++ class for Rectangle with deposit functionality,"class Rectangle {
private:
    int value;
public:
    void deposit() {
        // TODO: implement deposit logic
    }
};"
172,Develop a C++ function to sum an array of ten elements,"void sumArray(int arr[], int n) {
    // TODO: implement sum logic
}
int main() {
    int arr[10];
    sumArray(arr, 10);
    return 0;
}"
173,Construct a C++ algorithm to print a number using recursion,"int print(int n) {
    if (n <= 1) return n;
    return print(n - 1) + print(n - 2);
}
int main() {
    cout << print(5);
    return 0;
}"
174,Create a C++ class for Employee with withdraw functionality,"class Employee {
private:
    int value;
public:
    void withdraw() {
        // TODO: implement withdraw logic
    }
};"
175,Design a C++ structure to represent a Employee with fields x and y,"struct Employee {
    // Fields: x and y
};"
176,Generate a C++ template function to search two variables of type T,"void searchArray(int arr[], int n) {
    // TODO: implement search logic
}
int main() {
    int arr[10];
    searchArray(arr, 10);
    return 0;
}"
177,Develop a C++ function to sum an array of odd elements,"void sumArray(int arr[], int n) {
    // TODO: implement sum logic
}
int main() {
    int arr[10];
    sumArray(arr, 10);
    return 0;
}"
178,Write a C++ snippet that uses a loop to sort the first 5 integers,"for (int i = 1; i <= 5; ++i) {
    // TODO: sort logic
}"
179,Construct a C++ algorithm to sort a number using recursion,"int sort(int n) {
    if (n <= 1) return n;
    return sort(n - 1) + sort(n - 2);
}
int main() {
    cout << sort(5);
    return 0;
}"
180,Construct a C++ algorithm to reverse a number using recursion,"int reverse(int n) {
    if (n <= 1) return n;
    return reverse(n - 1) + reverse(n - 2);
}
int main() {
    cout << reverse(5);
    return 0;
}"
181,Generate a C++ template function to search two variables of type T,"void searchArray(int arr[], int n) {
    // TODO: implement search logic
}
int main() {
    int arr[10];
    searchArray(arr, 10);
    return 0;
}"
182,Create a C++ class for Product with calculateArea functionality,"class Product {
private:
    int value;
public:
    void calculateArea() {
        // TODO: implement calculateArea logic
    }
};"
183,Create a C++ class for Product with computeSalary functionality,"class Product {
private:
    int value;
public:
    void computeSalary() {
        // TODO: implement computeSalary logic
    }
};"
184,Generate a C++ template function to print two variables of type T,"void printArray(int arr[], int n) {
    // TODO: implement print logic
}
int main() {
    int arr[10];
    printArray(arr, 10);
    return 0;
}"
185,Design a C++ structure to represent a Rectangle with fields id and name,"struct Rectangle {
    // Fields: id and name
};"
